                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.90517,                0.49099,                 1.0545,                 0.9273,                0.94865,                0.96894,                0.75156,                0.95555,                0.45113,                 1.1181,             0.00041041,             0.00041041,             0.00041041
                    110,                0.89601,                0.48192,                 1.0591,                0.93099,                0.92696,                0.96605,                0.75005,                0.96181,                  0.454,                 1.1288,             0.00040098,             0.00040098,             0.00040098
                    111,                0.91793,                0.48403,                 1.0698,                 0.9482,                0.93193,                 0.9632,                0.74751,                0.95535,                0.45429,                  1.113,             0.00039155,             0.00039155,             0.00039155
                    112,                0.90288,                0.48999,                 1.0528,                0.95512,                 0.9253,                 0.9672,                0.75006,                 0.9389,                0.44164,                 1.1111,             0.00038211,             0.00038211,             0.00038211
                    113,                0.89634,                0.48107,                 1.0531,                0.94385,                0.92278,                0.96853,                0.75151,                0.95434,                0.45574,                 1.1244,             0.00037268,             0.00037268,             0.00037268
                    114,                0.89865,                0.47623,                 1.0525,                0.94665,                0.94434,                0.96731,                0.75089,                 0.9338,                 0.4394,                  1.107,             0.00036325,             0.00036325,             0.00036325
                    115,                0.90773,                0.48329,                 1.0534,                0.94135,                0.93507,                0.97264,                0.75242,                0.96311,                0.44744,                 1.1234,             0.00035382,             0.00035382,             0.00035382
                    116,                0.88986,                 0.4802,                 1.0561,                0.93815,                0.94394,                0.96848,                0.74656,                 0.9525,                0.44712,                 1.1208,             0.00034439,             0.00034439,             0.00034439
                    117,                0.88764,                0.47772,                 1.0482,                0.94074,                0.93792,                0.96763,                0.75437,                0.93366,                0.44282,                   1.11,             0.00033496,             0.00033496,             0.00033496
                    118,                0.89045,                 0.4816,                 1.0557,                0.92821,                0.93671,                0.96695,                0.75356,                0.95715,                0.44892,                 1.1205,             0.00032553,             0.00032553,             0.00032553
                    119,                0.87498,                0.46832,                 1.0423,                0.94316,                0.93017,                0.97101,                0.75743,                0.93381,                0.43653,                 1.1088,             0.00031609,             0.00031609,             0.00031609
                    120,                0.88985,                0.47208,                 1.0465,                0.92449,                0.93676,                0.96946,                0.75565,                0.93829,                0.44894,                 1.1125,             0.00030666,             0.00030666,             0.00030666
                    121,                0.87563,                0.46527,                 1.0456,                0.93361,                0.94393,                0.96443,                0.75061,                0.93614,                0.45064,                 1.1123,             0.00029723,             0.00029723,             0.00029723
                    122,                0.86399,                 0.4727,                 1.0453,                0.94077,                0.94232,                 0.9668,                0.75018,                0.93477,                0.43854,                 1.1131,              0.0002878,              0.0002878,              0.0002878
                    123,                0.86634,                 0.4667,                 1.0417,                0.94407,                0.93514,                0.97089,                0.75901,                 0.9219,                0.43355,                  1.106,             0.00027837,             0.00027837,             0.00027837
                    124,                0.86041,                0.45943,                  1.036,                0.94373,                0.94203,                0.97121,                0.75704,                0.92811,                0.43742,                 1.1071,             0.00026894,             0.00026894,             0.00026894
                    125,                0.86607,                0.47096,                 1.0421,                 0.9334,                0.94419,                0.96794,                0.75446,                0.92184,                 0.4369,                 1.1061,             0.00025951,             0.00025951,             0.00025951
                    126,                0.87005,                0.47145,                 1.0493,                0.94174,                0.93176,                0.96553,                0.75328,                0.92084,                 0.4368,                 1.1045,             0.00025007,             0.00025007,             0.00025007
                    127,                0.85652,                0.46273,                 1.0414,                0.94108,                0.93014,                0.97104,                0.75831,                0.92232,                 0.4399,                 1.1014,             0.00024064,             0.00024064,             0.00024064
                    128,                0.85339,                0.45329,                   1.04,                0.94008,                0.92698,                0.97291,                0.76058,                0.91622,                 0.4342,                 1.1016,             0.00023121,             0.00023121,             0.00023121
                    129,                0.86001,                0.45855,                 1.0452,                0.94297,                0.92967,                0.96993,                0.75348,                0.92955,                0.43635,                 1.1115,             0.00022178,             0.00022178,             0.00022178
                    130,                0.86008,                0.47121,                 1.0427,                0.94473,                0.94753,                0.96637,                0.75662,                0.91729,                0.43391,                 1.1042,             0.00021235,             0.00021235,             0.00021235
                    131,                0.85784,                0.45266,                 1.0444,                0.93999,                0.94497,                0.97288,                0.76451,                 0.9036,                0.42671,                 1.0979,             0.00020292,             0.00020292,             0.00020292
                    132,                0.84902,                0.45009,                 1.0283,                0.94544,                0.94847,                0.97135,                0.76571,                0.90594,                0.42498,                 1.1005,             0.00019349,             0.00019349,             0.00019349
                    133,                0.85496,                0.45716,                  1.043,                0.93742,                0.94164,                0.97175,                0.76364,                0.91336,                0.43017,                 1.1042,             0.00018406,             0.00018406,             0.00018406
                    134,                0.85807,                0.46119,                 1.0394,                0.94665,                0.94963,                0.97265,                0.76209,                0.91004,                0.42387,                 1.1008,             0.00017462,             0.00017462,             0.00017462
                    135,                0.82961,                0.44889,                  1.028,                0.94458,                0.94423,                0.97263,                0.76707,                0.89936,                 0.4227,                 1.0991,             0.00016519,             0.00016519,             0.00016519
                    136,                0.84055,                0.45533,                 1.0376,                0.95142,                0.94915,                0.97218,                0.76738,                0.90375,                0.42423,                 1.1004,             0.00015576,             0.00015576,             0.00015576
                    137,                0.83675,                0.44668,                 1.0245,                0.95279,                0.93971,                0.96595,                0.76186,                0.90177,                0.42585,                 1.0989,             0.00014633,             0.00014633,             0.00014633
                    138,                0.83284,                0.44417,                 1.0339,                0.95165,                0.93977,                0.97134,                0.76539,                0.90418,                0.42166,                 1.1041,              0.0001369,              0.0001369,              0.0001369
                    139,                0.83443,                0.44578,                 1.0261,                0.94457,                0.94576,                0.97348,                0.76838,                0.90445,                0.42003,                 1.1018,             0.00012747,             0.00012747,             0.00012747
                    140,                0.82843,                0.44227,                 1.0267,                0.95051,                0.94554,                0.97462,                0.76664,                0.90409,                0.41547,                 1.0989,             0.00011804,             0.00011804,             0.00011804
                    141,                0.81615,                0.42691,                 1.0589,                0.94645,                0.94113,                0.97421,                0.77098,                0.90889,                0.42229,                 1.1002,              0.0001086,              0.0001086,              0.0001086
                    142,                0.78977,                 0.4065,                 1.0438,                0.94886,                0.94503,                0.96772,                0.76231,                 0.9032,                0.42673,                 1.1019,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    143,                0.78116,                0.40206,                 1.0345,                  0.954,                0.93574,                0.97174,                0.76845,                0.89465,                0.42233,                 1.0961,             8.9741e-05,             8.9741e-05,             8.9741e-05
                    144,                0.78427,                0.40565,                 1.0434,                 0.9358,                0.95241,                0.97367,                0.77247,                0.89439,                0.41617,                 1.0965,              8.031e-05,              8.031e-05,              8.031e-05
                    145,                0.77806,                0.40156,                 1.0462,                0.95497,                0.94694,                0.97538,                0.77476,                0.89253,                0.41528,                  1.096,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    146,                 0.7752,                0.40069,                 1.0307,                0.95526,                0.94458,                0.97414,                0.77157,                0.89581,                0.41715,                 1.0995,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    147,                0.77199,                0.40141,                  1.047,                0.95295,                0.94345,                0.97391,                0.77219,                0.88943,                0.41653,                 1.0952,             5.2016e-05,             5.2016e-05,             5.2016e-05
                    148,                0.77379,                0.40308,                 1.0448,                0.95718,                0.94323,                0.97374,                0.77196,                0.89316,                0.41733,                 1.0957,             4.2584e-05,             4.2584e-05,             4.2584e-05
