                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.91053,                0.44608,                 1.0659,                0.97079,                0.96483,                0.98707,                0.78621,                 0.9589,                0.39549,                 1.1212,             0.00035774,             0.00035774,             0.00035774
                    121,                0.92094,                0.44345,                 1.0736,                0.96175,                0.97648,                0.98858,                 0.7835,                0.96571,                0.39437,                 1.1243,             0.00034674,             0.00034674,             0.00034674
                    122,                0.89254,                0.43808,                 1.0631,                0.96664,                0.97753,                0.99003,                0.79147,                0.96353,                0.39263,                 1.1224,             0.00033573,             0.00033573,             0.00033573
                    123,                0.90681,                0.44211,                 1.0705,                0.96705,                0.98119,                0.99052,                0.78939,                0.95328,                0.38719,                 1.1171,             0.00032473,             0.00032473,             0.00032473
                    124,                0.89599,                  0.439,                 1.0672,                0.96572,                 0.9796,                0.99019,                0.78377,                0.95288,                0.39023,                 1.1188,             0.00031373,             0.00031373,             0.00031373
                    125,                0.89861,                0.43264,                 1.0586,                0.98131,                0.96565,                0.99003,                0.78915,                0.95805,                0.38913,                 1.1189,             0.00030273,             0.00030273,             0.00030273
                    126,                0.88548,                0.43287,                 1.0668,                0.97363,                0.97802,                0.99078,                0.78942,                0.94757,                0.38732,                 1.1159,             0.00029172,             0.00029172,             0.00029172
                    127,                0.89229,                0.44149,                 1.0703,                0.97581,                0.97339,                0.98905,                0.78992,                0.94678,                0.39073,                  1.116,             0.00028072,             0.00028072,             0.00028072
                    128,                 0.8927,                0.43109,                 1.0701,                0.98206,                0.97476,                 0.9891,                0.78976,                0.95782,                0.38877,                 1.1237,             0.00026972,             0.00026972,             0.00026972
                    129,                0.88711,                0.43434,                 1.0703,                0.97273,                0.97699,                0.98828,                0.78211,                0.95796,                0.38556,                 1.1254,             0.00025872,             0.00025872,             0.00025872
