                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.90109,                0.49904,                 1.0439,                0.96422,                0.98005,                0.98224,                0.71377,                 1.0431,                 0.5044,                 1.0699,              0.0002378,              0.0002378,              0.0002378
                     91,                0.92091,                0.48455,                 1.0522,                0.96422,                0.98005,                0.98224,                0.71377,                 1.0431,                 0.5044,                 1.0699,               0.000218,               0.000218,               0.000218
                     92,                0.87616,                0.46278,                  1.008,                0.96415,                 0.9779,                0.98018,                0.70862,                 1.0593,                0.52761,                 1.0896,              0.0001982,              0.0001982,              0.0001982
                     93,                0.86495,                0.45679,                 1.0265,                0.96357,                0.98182,                0.97926,                0.69189,                  1.093,                0.51652,                  1.141,              0.0001784,              0.0001784,              0.0001784
                     94,                0.88363,                0.46809,                 1.0427,                0.96422,                0.98008,                0.97766,                0.69126,                 1.0868,                0.51232,                 1.1279,              0.0001586,              0.0001586,              0.0001586
                     95,                0.88164,                0.47093,                 1.0298,                0.96422,                0.98008,                0.97766,                0.69126,                 1.0868,                0.51232,                 1.1279,              0.0001388,              0.0001388,              0.0001388
                     96,                  0.903,                0.48723,                 1.0742,                 0.9641,                0.97655,                0.97664,                0.68329,                 1.0901,                0.50948,                  1.128,               0.000119,               0.000119,               0.000119
                     97,                0.85886,                0.44168,                 1.0095,                0.96362,                0.96316,                0.97658,                0.67776,                 1.0905,                0.50797,                 1.1272,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.86511,                0.47324,                 1.0415,                0.96361,                0.96298,                 0.9766,                0.68374,                 1.0902,                0.50543,                 1.1253,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.87719,                0.47056,                 1.0622,                0.96361,                0.96298,                 0.9766,                0.68374,                 1.0902,                0.50543,                 1.1253,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.86221,                0.43843,                 1.0095,                0.96363,                 0.9635,                0.97705,                0.68025,                 1.0885,                0.50514,                 1.1242,               3.98e-05,               3.98e-05,               3.98e-05
